ticker,company_name,sector_group,industry_group,index_memberships,rating_seed,rating_bucket,rating_source,cik,sec_available,revenue,revenue_tag,revenue_form,revenue_period_end,revenue_filed,net_income,net_income_tag,net_income_form,net_income_period_end,net_income_filed,assets,assets_tag,assets_form,assets_period_end,assets_filed,liabilities,liabilities_tag,liabilities_form,liabilities_period_end,liabilities_filed,equity,equity_tag,equity_form,equity_period_end,equity_filed,cash,cash_tag,cash_form,cash_period_end,cash_filed,cfo,cfo_tag,cfo_form,cfo_period_end,cfo_filed,capex,capex_tag,capex_form,capex_period_end,capex_filed,interest_expense,interest_expense_tag,interest_expense_form,interest_expense_period_end,interest_expense_filed,cogs,cogs_tag,cogs_form,cogs_period_end,cogs_filed,ppe_net,ppe_net_tag,ppe_net_form,ppe_net_period_end,ppe_net_filed,depreciation,depreciation_tag,depreciation_form,depreciation_period_end,depreciation_filed,sga,sga_tag,sga_form,sga_period_end,sga_filed,current_assets,current_assets_tag,current_assets_form,current_assets_period_end,current_assets_filed,current_liabilities,current_liabilities_tag,current_liabilities_form,current_liabilities_period_end,current_liabilities_filed,accounts_receivable,accounts_receivable_tag,accounts_receivable_form,accounts_receivable_period_end,accounts_receivable_filed,inventory,inventory_tag,inventory_form,inventory_period_end,inventory_filed,accounts_payable,accounts_payable_tag,accounts_payable_form,accounts_payable_period_end,accounts_payable_filed,long_term_debt,long_term_debt_tag,long_term_debt_form,long_term_debt_period_end,long_term_debt_filed,short_term_debt,short_term_debt_tag,short_term_debt_form,short_term_debt_period_end,short_term_debt_filed,market_data_available,last_close,ret_1m,ret_3m,vol_3m,drawdown_6m
A,Agilent Technologies,Healthcare,Life Sciences Tools & Services,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0001090872,True,6948000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2025-10-31,2025-12-22,1303000000.0,NetIncomeLoss,10-K,2025-10-31,2025-12-22,12727000000.0,Assets,10-K,2025-10-31,2025-12-22,5986000000.0,Liabilities,10-K,2025-10-31,2025-12-22,6741000000.0,StockholdersEquity,10-K,2025-10-31,2025-12-22,1789000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-10-31,2025-12-22,1559000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-10-31,2025-12-22,407000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-10-31,2025-12-22,112000000.0,InterestExpense,10-K,2025-10-31,2025-12-22,3305000000.0,CostOfGoodsAndServicesSold,10-K,2025-10-31,2025-12-22,2023000000.0,PropertyPlantAndEquipmentNet,10-K,2025-10-31,2025-12-22,288000000.0,DepreciationDepletionAndAmortization,10-K,2025-10-31,2025-12-22,1709000000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-10-31,2025-12-22,4594000000.0,AssetsCurrent,10-K,2025-10-31,2025-12-22,2347000000.0,LiabilitiesCurrent,10-K,2025-10-31,2025-12-22,1487000000.0,AccountsReceivableNetCurrent,10-K,2025-10-31,2025-12-22,1025000000.0,InventoryNet,10-K,2025-10-31,2025-12-22,570000000.0,AccountsPayableCurrent,10-K,2025-10-31,2025-12-22,3050000000.0,LongTermDebt,10-K,2025-10-31,2025-12-22,304000000.0,ShortTermBorrowings,10-K,2025-10-31,2025-12-22,True,115.62000274658203,0.004867071092219621,-0.09110725352373694,0.29681173080961865,-0.26150802882558855
AAPL,Apple,Technology,,Dow; Nasdaq 100; S&P 500,AA bucket,AA,demo_bucket_to_refresh,0000320193,True,416161000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2025-09-27,2025-10-31,112010000000.0,NetIncomeLoss,10-K,2025-09-27,2025-10-31,359241000000.0,Assets,10-K,2025-09-27,2025-10-31,285508000000.0,Liabilities,10-K,2025-09-27,2025-10-31,73733000000.0,StockholdersEquity,10-K,2025-09-27,2025-10-31,35934000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-09-27,2025-10-31,111482000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-09-27,2025-10-31,12715000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-09-27,2025-10-31,3933000000.0,InterestExpense,10-K,2023-09-30,2023-11-03,220960000000.0,CostOfGoodsAndServicesSold,10-K,2025-09-27,2025-10-31,49834000000.0,PropertyPlantAndEquipmentNet,10-K,2025-09-27,2025-10-31,11698000000.0,DepreciationDepletionAndAmortization,10-K,2025-09-27,2025-10-31,27601000000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-09-27,2025-10-31,147957000000.0,AssetsCurrent,10-K,2025-09-27,2025-10-31,165631000000.0,LiabilitiesCurrent,10-K,2025-09-27,2025-10-31,39777000000.0,AccountsReceivableNetCurrent,10-K,2025-09-27,2025-10-31,5718000000.0,InventoryNet,10-K,2025-09-27,2025-10-31,69860000000.0,AccountsPayableCurrent,10-K,2025-09-27,2025-10-31,90678000000.0,LongTermDebt,10-K,2025-09-27,2025-10-31,12350000000.0,LongTermDebtCurrent,10-K,2025-09-27,2025-10-31,True,293.32000732421875,0.12607491919836522,0.06809413931804742,0.2579435295359332,0.0
ABBV,AbbVie,Healthcare,Biotechnology,S&P 500,BBB+ / A- bucket,A-,demo_bucket_to_refresh,0001551152,True,61160000000.0,Revenues,10-K,2025-12-31,2026-02-20,4226000000.0,NetIncomeLoss,10-K,2025-12-31,2026-02-20,133960000000.0,Assets,10-K,2025-12-31,2026-02-20,,,,,,-3270000000.0,StockholdersEquity,10-K,2025-12-31,2026-02-20,5229000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-12-31,2026-02-20,19030000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-12-31,2026-02-20,1214000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-12-31,2026-02-20,2893000000.0,InterestExpense,10-K,2025-12-31,2026-02-20,18204000000.0,CostOfGoodsAndServicesSold,10-K,2025-12-31,2026-02-20,5628000000.0,PropertyPlantAndEquipmentNet,10-K,2025-12-31,2026-02-20,762000000.0,Depreciation,10-K,2025-12-31,2026-02-20,14010000000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-12-31,2026-02-20,29062000000.0,AssetsCurrent,10-K,2025-12-31,2026-02-20,43289000000.0,LiabilitiesCurrent,10-K,2025-12-31,2026-02-20,12589000000.0,AccountsReceivableNetCurrent,10-K,2025-12-31,2026-02-20,4951000000.0,InventoryNet,10-K,2025-12-31,2026-02-20,3592000000.0,AccountsPayableCurrent,10-K,2025-12-31,2026-02-20,64503000000.0,LongTermDebt,10-K,2025-12-31,2026-02-20,2499000000.0,ShortTermBorrowings,10-K,2025-12-31,2026-02-20,True,201.5500030517578,-0.022688808273210737,-0.08975141925053653,0.2560993546943237,-0.1395821631233093
ABNB,Airbnb,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0001559720,True,12241000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2025-12-31,2026-02-12,2511000000.0,NetIncomeLoss,10-K,2025-12-31,2026-02-12,22208000000.0,Assets,10-K,2025-12-31,2026-02-12,14009000000.0,Liabilities,10-K,2025-12-31,2026-02-12,8199000000.0,StockholdersEquity,10-K,2025-12-31,2026-02-12,6560000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-12-31,2026-02-12,4646000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-12-31,2026-02-12,25000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2022-12-31,2023-02-17,,,,,,2086000000.0,CostOfRevenue,10-K,2025-12-31,2026-02-12,107000000.0,PropertyPlantAndEquipmentNet,10-K,2025-12-31,2026-02-12,17000000.0,Depreciation,10-K,2025-12-31,2026-02-12,1342000000.0,GeneralAndAdministrativeExpense,10-K,2025-12-31,2026-02-12,18797000000.0,AssetsCurrent,10-K,2025-12-31,2026-02-12,13649000000.0,LiabilitiesCurrent,10-K,2025-12-31,2026-02-12,,,,,,,,,,,232000000.0,AccountsPayableCurrent,10-K,2025-12-31,2026-02-12,0.0,LongTermDebtNoncurrent,10-K,2025-12-31,2026-02-12,1999000000.0,LongTermDebtCurrent,10-K,2025-12-31,2026-02-12,True,141.49000549316406,0.09716189614581894,0.1663507405877509,0.33779620193456344,-0.01865714606232627
ABT,Abbott Laboratories,Healthcare,Health Care Equipment,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000001800,True,44328000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2025-12-31,2026-02-20,6524000000.0,NetIncomeLoss,10-K,2025-12-31,2026-02-20,86713000000.0,Assets,10-K,2025-12-31,2026-02-20,,,,,,52130000000.0,StockholdersEquity,10-K,2025-12-31,2026-02-20,8522000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-12-31,2026-02-20,9566000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-12-31,2026-02-20,2171000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-12-31,2026-02-20,637000000.0,InterestExpense,10-K,2023-12-31,2024-02-16,19319000000.0,CostOfGoodsAndServicesSold,10-K,2025-12-31,2026-02-20,11816000000.0,PropertyPlantAndEquipmentNet,10-K,2025-12-31,2026-02-20,1434000000.0,Depreciation,10-K,2025-12-31,2026-02-20,12332000000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-12-31,2026-02-20,25996000000.0,AssetsCurrent,10-K,2025-12-31,2026-02-20,16496000000.0,LiabilitiesCurrent,10-K,2025-12-31,2026-02-20,7929000000.0,AccountsReceivableNetCurrent,10-K,2025-12-31,2026-02-20,6488000000.0,InventoryNet,10-K,2025-12-31,2026-02-20,,,,,,12929000000.0,LongTermDebt,10-K,2025-12-31,2026-02-20,3033000000.0,LongTermDebtCurrent,10-K,2025-12-31,2026-02-20,True,84.31999969482422,-0.15404797406112414,-0.2360764239389458,0.24447683736770526,-0.34697299401426873
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000947484,True,19929000000.0,Revenues,10-K,2025-12-31,2026-02-26,4399000000.0,NetIncomeLoss,10-K,2025-12-31,2026-02-26,79241000000.0,Assets,10-K,2025-12-31,2026-02-26,55035000000.0,Liabilities,10-K,2025-12-31,2026-02-26,24206000000.0,StockholdersEquity,10-K,2025-12-31,2026-02-26,993000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-12-31,2026-02-26,6172000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-12-31,2026-02-26,44000000.0,PaymentsToAcquireProductiveAssets,10-K,2025-12-31,2026-02-26,148000000.0,InterestExpense,10-K,2025-12-31,2026-02-26,,,,,,,,,,,,,,,,132000000.0,GeneralAndAdministrativeExpense,10-K,2025-12-31,2026-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,93.80000305175781,-0.022611213309823186,-0.02352690572844751,0.2155313574600934,-0.08021180658864557
ACN,Accenture,Technology,IT Consulting & Other Services,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0001467373,True,69672977000.0,Revenues,10-K,2025-08-31,2025-10-10,7678433000.0,NetIncomeLoss,10-K,2025-08-31,2025-10-10,65394897000.0,Assets,10-K,2025-08-31,2025-10-10,,,,,,31195446000.0,StockholdersEquity,10-K,2025-08-31,2025-10-10,11478729000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-08-31,2025-10-10,11474399000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-08-31,2025-10-10,600039000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-08-31,2025-10-10,228555000.0,InterestExpense,10-K,2025-08-31,2025-10-10,47437576000.0,CostOfGoodsAndServicesSold,10-K,2025-08-31,2025-10-10,1566374000.0,PropertyPlantAndEquipmentNet,10-K,2025-08-31,2025-10-10,622493000.0,Depreciation,10-K,2025-08-31,2025-10-10,4350968000.0,GeneralAndAdministrativeExpense,10-K,2025-08-31,2025-10-10,28900689000.0,AssetsCurrent,10-K,2025-08-31,2025-10-10,20352097000.0,LiabilitiesCurrent,10-K,2025-08-31,2025-10-10,13065433000.0,AccountsReceivableNetCurrent,10-K,2025-08-31,2025-10-10,,,,,,2695589000.0,AccountsPayableCurrent,10-K,2025-08-31,2025-10-10,,,,,,,,,,,True,180.4199981689453,0.004957385371246792,-0.23150014825333398,0.4125425801248174,-0.3694114890148904
ADBE,Adobe Inc.,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000796343,True,23769000000.0,Revenues,10-K,2025-11-28,2026-01-15,7130000000.0,NetIncomeLoss,10-K,2025-11-28,2026-01-15,29496000000.0,Assets,10-K,2025-11-28,2026-01-15,17873000000.0,Liabilities,10-K,2025-11-28,2026-01-15,11623000000.0,StockholdersEquity,10-K,2025-11-28,2026-01-15,5431000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-11-28,2026-01-15,10031000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-11-28,2026-01-15,179000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-11-28,2026-01-15,113000000.0,InterestExpense,10-K,2023-12-01,2024-01-17,2551000000.0,CostOfRevenue,10-K,2025-11-28,2026-01-15,1873000000.0,PropertyPlantAndEquipmentNet,10-K,2025-11-28,2026-01-15,818000000.0,DepreciationDepletionAndAmortization,10-K,2025-11-28,2026-01-15,1573000000.0,GeneralAndAdministrativeExpense,10-K,2025-11-28,2026-01-15,10163000000.0,AssetsCurrent,10-K,2025-11-28,2026-01-15,10200000000.0,LiabilitiesCurrent,10-K,2025-11-28,2026-01-15,2344000000.0,AccountsReceivableNetCurrent,10-K,2025-11-28,2026-01-15,,,,,,417000000.0,AccountsPayableCurrent,10-K,2025-11-28,2026-01-15,6210000000.0,LongTermDebt,10-K,2025-11-28,2026-01-15,0.0,LongTermDebtCurrent,10-K,2025-11-28,2026-01-15,True,253.0399932861328,0.12287546675236238,-0.05192956510792235,0.3901120898293484,-0.2922552117302629
ADI,Analog Devices,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000006281,True,11019707000.0,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2025-11-01,2025-11-25,2267342000.0,NetIncomeLoss,10-K,2025-11-01,2025-11-25,47992712000.0,Assets,10-K,2025-11-01,2025-11-25,,,,,,33815755000.0,StockholdersEquity,10-K,2025-11-01,2025-11-25,2499406000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-11-01,2025-11-25,4812202000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-11-01,2025-11-25,533552000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-11-01,2025-11-25,264641000.0,InterestExpense,10-K,2023-10-28,2023-11-21,4246229000.0,CostOfGoodsAndServicesSold,10-K,2025-11-01,2025-11-25,3315696000.0,PropertyPlantAndEquipmentNet,10-K,2025-11-01,2025-11-25,406801000.0,Depreciation,10-K,2025-11-01,2025-11-25,1255339000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-11-01,2025-11-25,7108061000.0,AssetsCurrent,10-K,2025-11-01,2025-11-25,3245801000.0,LiabilitiesCurrent,10-K,2025-11-01,2025-11-25,1436075000.0,AccountsReceivableNetCurrent,10-K,2025-11-01,2025-11-25,1656323000.0,InventoryNet,10-K,2025-11-01,2025-11-25,543760000.0,AccountsPayableCurrent,10-K,2025-11-01,2025-11-25,8145066000.0,LongTermDebtNoncurrent,10-K,2025-11-01,2025-11-25,446639000.0,ShortTermBorrowings,10-K,2025-11-01,2025-11-25,True,416.5199890136719,0.1895812291887975,0.29369347833237147,0.3505037569601849,0.0
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000007084,True,80269000000.0,Revenues,10-K,2025-12-31,2026-02-17,1078000000.0,NetIncomeLoss,10-K,2025-12-31,2026-02-17,52389000000.0,Assets,10-K,2025-12-31,2026-02-17,,,,,,22740000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10-K,2025-12-31,2026-02-17,1015000000.0,CashAndCashEquivalentsAtCarryingValue,10-K,2025-12-31,2026-02-17,5452000000.0,NetCashProvidedByUsedInOperatingActivities,10-K,2025-12-31,2026-02-17,1248000000.0,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2025-12-31,2026-02-17,612000000.0,InterestExpense,10-K,2025-12-31,2026-02-17,75236000000.0,CostOfRevenue,10-K,2025-12-31,2026-02-17,11179000000.0,PropertyPlantAndEquipmentNet,10-K,2025-12-31,2026-02-17,1181000000.0,DepreciationDepletionAndAmortization,10-K,2025-12-31,2026-02-17,3609000000.0,SellingGeneralAndAdministrativeExpense,10-K,2025-12-31,2026-02-17,26665000000.0,AssetsCurrent,10-K,2025-12-31,2026-02-17,19534000000.0,LiabilitiesCurrent,10-K,2025-12-31,2026-02-17,3021000000.0,AccountsReceivableNetCurrent,10-K,2025-12-31,2026-02-17,10369000000.0,InventoryNet,10-K,2025-12-31,2026-02-17,5195000000.0,AccountsPayableCurrent,10-K,2025-12-31,2026-02-17,7612000000.0,LongTermDebt,10-K,2025-12-31,2026-02-17,798000000.0,ShortTermBorrowings,10-K,2025-12-31,2026-02-17,True,77.66000366210938,0.11372436431106614,0.16177208428539802,0.28239850182229437,-0.019320605280053416
