ticker,company_name,sector_group,industry_group,index_memberships,rating_seed,rating_bucket,rating_source,cik,sec_available,reference_period_end,revenue,net_income,assets,liabilities,equity,cash,cfo,capex,interest_expense,cogs,ppe_net,depreciation,sga,current_assets,current_liabilities,accounts_receivable,inventory,accounts_payable,long_term_debt,short_term_debt,total_debt,fcf,leverage_proxy,debt_to_assets,cash_to_assets,net_margin,fcf_to_assets,accrual_proxy,current_ratio,last_close,ret_1m,ret_3m,vol_3m,drawdown_6m,market_data_available,news_mentions_30d,risk_news_mentions_30d,news_data_available,leverage_proxy_is_assumption,debt_to_assets_is_assumption,cash_to_assets_is_assumption,net_margin_is_assumption,fcf_to_assets_is_assumption,accrual_proxy_is_assumption,current_ratio_is_assumption,ret_1m_is_assumption,ret_3m_is_assumption,vol_3m_is_assumption,drawdown_6m_is_assumption,last_close_is_assumption,news_mentions_30d_is_assumption,risk_news_mentions_30d_is_assumption,revenue_is_stale,net_income_is_stale,assets_is_stale,liabilities_is_stale,equity_is_stale,cash_is_stale,cfo_is_stale,capex_is_stale,interest_expense_is_stale,cogs_is_stale,ppe_net_is_stale,depreciation_is_stale,sga_is_stale,current_assets_is_stale,current_liabilities_is_stale,accounts_receivable_is_stale,inventory_is_stale,accounts_payable_is_stale,long_term_debt_is_stale,short_term_debt_is_stale,assumption_metric_count,stale_fact_count,data_quality_score,data_quality_note
A,Agilent Technologies,Healthcare,Life Sciences Tools & Services,S&P 500,NR (to derive from financials),A-,default - no public rating available; derive from leverage/margin post-SEC pull,0001090872,True,2025-10-31,6948000000.0,1303000000.0,12727000000.0,5986000000.0,6741000000.0,1789000000.0,1559000000.0,407000000.0,112000000.0,3305000000.0,2023000000.0,288000000.0,1709000000.0,4594000000.0,2347000000.0,1487000000.0,1025000000.0,570000000.0,3050000000.0,304000000.0,3354000000.0,1152000000.0,0.470338650113931,0.2635342185903984,0.14056729787066866,0.18753598157743234,0.09051622534768602,-0.020114716743930228,1.9573924158500213,115.62000274658203,0.004867071092219621,-0.09110725352373694,0.29681173080961865,-0.26150802882558855,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,100.0,Strong public-data coverage
AAPL,Apple,Technology,,Dow; Nasdaq 100; S&P 500,AA bucket,AA,demo_bucket_to_refresh,0000320193,True,2025-09-27,416161000000.0,112010000000.0,359241000000.0,285508000000.0,73733000000.0,35934000000.0,111482000000.0,12715000000.0,3933000000.0,220960000000.0,49834000000.0,11698000000.0,27601000000.0,147957000000.0,165631000000.0,39777000000.0,5718000000.0,69860000000.0,90678000000.0,12350000000.0,103028000000.0,98767000000.0,0.7947533828265705,0.28679354528018797,0.10002755810166435,0.2691506412181824,0.2749324269779897,0.0014697654220982572,0.8932929222186667,293.32000732421875,0.12607491919836522,0.06809413931804742,0.2579435295359332,0.0,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,98.5,Strong public-data coverage
ABBV,AbbVie,Healthcare,Biotechnology,S&P 500,BBB+ / A- bucket,A-,demo_bucket_to_refresh,0001551152,True,2025-12-31,61160000000.0,4226000000.0,133960000000.0,,-3270000000.0,5229000000.0,19030000000.0,1214000000.0,2893000000.0,18204000000.0,5628000000.0,762000000.0,14010000000.0,29062000000.0,43289000000.0,12589000000.0,4951000000.0,3592000000.0,64503000000.0,2499000000.0,67002000000.0,17816000000.0,0.65,0.5001642281277994,0.03903404001194386,0.06909744931327665,0.132994923857868,-0.11051060017915795,0.6713483794959458,201.5500030517578,-0.022688808273210737,-0.08975141925053653,0.2560993546943237,-0.1395821631233093,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,93.6,Strong public-data coverage
ABNB,Airbnb,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),A,default - no public rating available; derive from leverage/margin post-SEC pull,0001559720,True,2025-12-31,12241000000.0,2511000000.0,22208000000.0,14009000000.0,8199000000.0,6560000000.0,4646000000.0,25000000.0,,2086000000.0,107000000.0,17000000.0,1342000000.0,18797000000.0,13649000000.0,,,232000000.0,0.0,1999000000.0,1999000000.0,,0.6308087175792507,0.09001260806916427,0.2953890489913545,0.20513029981210684,0.04,-0.09613652737752161,1.3771704886804894,141.49000549316406,0.09716189614581894,0.1663507405877509,0.33779620193456344,-0.01865714606232627,True,,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,92.1,Strong public-data coverage
ABT,Abbott Laboratories,Healthcare,Health Care Equipment,S&P 500,NR (to derive from financials),A,default - no public rating available; derive from leverage/margin post-SEC pull,0000001800,True,2025-12-31,44328000000.0,6524000000.0,86713000000.0,,52130000000.0,8522000000.0,9566000000.0,2171000000.0,637000000.0,19319000000.0,11816000000.0,1434000000.0,12332000000.0,25996000000.0,16496000000.0,7929000000.0,6488000000.0,,12929000000.0,3033000000.0,15962000000.0,7395000000.0,0.65,0.18407851187249893,0.09827822817801253,0.14717560007218913,0.0852813303656891,-0.035081245026697266,1.5758971871968963,84.31999969482422,-0.15404797406112414,-0.2360764239389458,0.24447683736770526,-0.34697299401426873,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,92.1,Strong public-data coverage
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0000947484,True,2025-12-31,19929000000.0,4399000000.0,79241000000.0,55035000000.0,24206000000.0,993000000.0,6172000000.0,44000000.0,148000000.0,,,,132000000.0,,,,,,,,,6128000000.0,0.6945268232354463,0.25,0.012531391577592407,0.22073360429524813,0.07733370351207078,-0.022374780732196717,1.0,93.80000305175781,-0.022611213309823186,-0.02352690572844751,0.2155313574600934,-0.08021180658864557,True,,,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,87.3,Strong public-data coverage
ACN,Accenture,Technology,IT Consulting & Other Services,S&P 500,NR (to derive from financials),NR,default - no public rating available; derive from leverage/margin post-SEC pull,0001467373,True,2025-08-31,69672977000.0,7678433000.0,65394897000.0,,31195446000.0,11478729000.0,11474399000.0,600039000.0,228555000.0,47437576000.0,1566374000.0,622493000.0,4350968000.0,28900689000.0,20352097000.0,13065433000.0,,2695589000.0,,,,10874360000.0,0.55,0.18,0.17552943007158495,0.11020675921455172,0.16628759274595997,-0.058046822827781196,1.4200349477501015,180.4199981689453,0.004957385371246792,-0.23150014825333398,0.4125425801248174,-0.3694114890148904,True,,,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,87.3,Strong public-data coverage
ADBE,Adobe Inc.,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),A,default - no public rating available; derive from leverage/margin post-SEC pull,0000796343,True,2025-11-28,23769000000.0,7130000000.0,29496000000.0,17873000000.0,11623000000.0,5431000000.0,10031000000.0,179000000.0,113000000.0,2551000000.0,1873000000.0,818000000.0,1573000000.0,10163000000.0,10200000000.0,2344000000.0,,417000000.0,6210000000.0,0.0,6210000000.0,9852000000.0,0.6059465690263086,0.21053702196908056,0.18412666124220234,0.2999705498758888,0.3340113913751017,-0.09835231895850285,0.9963725490196078,253.0399932861328,0.12287546675236238,-0.05192956510792235,0.3901120898293484,-0.2922552117302629,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,98.5,Strong public-data coverage
ADI,Analog Devices,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),A,default - no public rating available; derive from leverage/margin post-SEC pull,0000006281,True,2025-11-01,11019707000.0,2267342000.0,47992712000.0,,33815755000.0,2499406000.0,4812202000.0,533552000.0,264641000.0,4246229000.0,3315696000.0,406801000.0,1255339000.0,7108061000.0,3245801000.0,1436075000.0,1656323000.0,543760000.0,8145066000.0,446639000.0,8591705000.0,4278650000.0,0.66,0.17902103552722756,0.05207886564109984,0.20575338346110292,0.08915207792383144,-0.05302596777610734,2.1899250755052453,416.5199890136719,0.1895812291887975,0.29369347833237147,0.3505037569601849,0.0,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,92.1,Strong public-data coverage
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500,NR (to derive from financials),A-,default - no public rating available; derive from leverage/margin post-SEC pull,0000007084,True,2025-12-31,80269000000.0,1078000000.0,52389000000.0,,22740000000.0,1015000000.0,5452000000.0,1248000000.0,612000000.0,75236000000.0,11179000000.0,1181000000.0,3609000000.0,26665000000.0,19534000000.0,3021000000.0,10369000000.0,5195000000.0,7612000000.0,798000000.0,8410000000.0,4204000000.0,0.7,0.1605298822271851,0.019374296130867167,0.013429842155751286,0.08024585313710894,-0.08349080913932314,1.3650558001433397,77.66000366210938,0.11372436431106614,0.16177208428539802,0.28239850182229437,-0.019320605280053416,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,93.6,Strong public-data coverage
ADP,Automatic Data Processing,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),BBB,default - no public rating available; derive from leverage/margin post-SEC pull,0000008670,True,2025-06-30,20560900000.0,4079700000.0,53369300000.0,47181300000.0,6188000000.0,3347800000.0,4939700000.0,,455900000.0,11097300000.0,655400000.0,582400000.0,4051700000.0,43252200000.0,41278300000.0,3579100000.0,,169100000.0,3974700000.0,0.0,3974700000.0,,0.8840531916288953,0.07447540065168552,0.06272894716625475,0.19842030261321245,0.04,-0.016114133031536856,1.0478193142643957,213.0,0.1282377645788364,-0.0523347423792242,0.32177788874244223,-0.1929353350038332,True,,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,1,92.1,Strong public-data coverage
ADSK,Autodesk,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),A,default - no public rating available; derive from leverage/margin post-SEC pull,0000769397,True,2026-01-31,7206000000.0,1124000000.0,12467000000.0,,3045000000.0,2249000000.0,2452000000.0,43000000.0,80000000.0,650000000.0,121000000.0,195000000.0,693000000.0,4942000000.0,5808000000.0,1439000000.0,,422000000.0,2500000000.0,,2500000000.0,2409000000.0,0.66,0.20052939760968957,0.18039624608967675,0.1559811268387455,0.19323012753669688,-0.10652121601026711,0.8508953168044077,244.5,0.11924927175865285,0.008122711543390615,0.39242949398097277,-0.21192586623690568,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,93.6,Strong public-data coverage
AEE,Ameren,Utilities,Multi-Utilities,S&P 500,NR (to derive from financials),BB+,default - no public rating available; derive from leverage/margin post-SEC pull,0001002910,True,2025-12-31,8799000000.0,1461000000.0,48476000000.0,,13401000000.0,13000000.0,3353000000.0,4128000000.0,776000000.0,,39313000000.0,,,2571000000.0,3907000000.0,665000000.0,774000000.0,1254000000.0,19431000000.0,643000000.0,20074000000.0,-775000000.0,0.74,0.41410182358280384,0.00026817394174436833,0.1660415956358677,-0.015987292680914266,-0.03902962290618038,0.6580496544663424,109.06999969482422,-0.0386072928271316,0.053240887576514684,0.18286626644302872,-0.04592372300572789,True,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,93.6,Strong public-data coverage
AEP,American Electric Power,Industrials,,Nasdaq 100; S&P 500,NR (to derive from financials),BB,default - no public rating available; derive from leverage/margin post-SEC pull,0000004904,True,2025-12-31,21876000000.0,3696000000.0,114460000000.0,82204000000.0,31138000000.0,197000000.0,6944000000.0,3453000000.0,1806900000.0,,736000000.0,3325000000.0,,6052000000.0,13314000000.0,2867000000.0,,3429000000.0,47322000000.0,1508000000.0,48830000000.0,3491000000.0,0.718189760615062,0.4266119168268391,0.0017211252839419884,0.1689522764673615,0.030499737899702953,-0.028376725493622225,0.4545591107105303,130.16000366210938,-0.03811244573700967,0.09118000250083869,0.19875632304681198,-0.04407373107459711,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,98.5,Strong public-data coverage
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,S&P 500,BB+ shown,BB+,screenshot,0000874761,True,2025-12-31,12233000000.0,910000000.0,51768000000.0,,4063000000.0,1382000000.0,4306000000.0,5929000000.0,1407000000.0,10022000000.0,37818000000.0,1457000000.0,241000000.0,6502000000.0,8492000000.0,1683000000.0,612000000.0,1980000000.0,,,,-1623000000.0,0.74,0.45,0.026696028434554164,0.07438894792773645,-0.03135141400092721,-0.0656003708854891,0.7656617993405558,14.329999923706055,0.00810910213639171,-0.09671915613682192,0.3878897827324333,-0.16049253180482026,True,,,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,87.3,Strong public-data coverage
