id,company_name,ticker,sector_group,industry_group,rating_seed,rating_source,index_memberships
1,Agilent Technologies,A,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
2,Apple,AAPL,Technology,,AA bucket,demo_bucket_to_refresh,Dow; Nasdaq 100; S&P 500
3,AbbVie,ABBV,Healthcare,Biotechnology,BBB+ / A- bucket,demo_bucket_to_refresh,S&P 500
4,Airbnb,ABNB,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
5,Abbott Laboratories,ABT,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
6,Arch Capital Group,ACGL,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
7,Accenture,ACN,Technology,IT Consulting & Other Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
8,Adobe Inc.,ADBE,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
9,Analog Devices,ADI,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
10,Archer Daniels Midland,ADM,Consumer Staples,Agricultural Products & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
11,Automatic Data Processing,ADP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
12,Autodesk,ADSK,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
13,Ameren,AEE,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
14,American Electric Power,AEP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
15,AES Corporation,AES,Utilities,Independent Power Producers & Energy Traders,BB+ shown,screenshot,S&P 500
16,Aflac,AFL,Financials,Life & Health Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
17,American International Group,AIG,Financials,Multi-line Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
18,Assurant,AIZ,Financials,Multi-line Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
19,Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
20,Akamai Technologies,AKAM,Technology,Internet Services & Infrastructure,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
21,Albemarle Corporation,ALB,Materials,Specialty Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
22,Align Technology,ALGN,Healthcare,Health Care Supplies,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
23,Allstate,ALL,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
24,Allegion,ALLE,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
